study_accession	field	gap_samples	escalate_trigger	resolution	cluster_theme	suggested_value	region_hint	grader_quote	paper_excerpt	fulltext_status	answer	answer_note
PRJEB35890	isolation_source	96	residual(96/96=100%_blank)	wide_mix_skip	Multi-country K. pneumoniae carbapenem-resistance study; no specimen types reported anywhere in the paper — cases span 13 EU/EEA countries and likely include both clinical infection isolates and hospital-admission screening/carriage swabs, making it a genuinely wide and uncharacterisable mix.			Failing to detect carriage of MDRO may not only be detrimental for the individual patient, but also increases the likelihood of undetected transmission in the healthcare setting.	Definitions and origin of samples and data A case was defined as an individual with an isolate of K. … Samples and epidemiological information on bla NDM-1 - and bla OXA-48 -positive K. … 117 isolates from national collections and 26 publicly available isolates, were included in the analysis. … All strains were screened for the presence of antimicrobial resistance (AMR) genes using ARIBA with the Resfinder database [ 5 ] except for 12 isolates with long-read data that were analysed using Kleborate [ 6 ].	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB50277	isolation_source	96	residual(96/96=100%_blank)	wide_mix_skip	Genuinely wide mix of invasive clinical sites (blood, respiratory, wound/tissue, urine) combined with carriage/screening samples — invasive sites mixed with colonisation screening disqualifies adoption per rubric			specimen types (blood, respiratory specimen, wound and tissue samples, urine, and screening samples)	InternationalJournalofInfectiousDiseases120(2022)103–112 Contents lists available at ScienceDirect International Journal of Infectious Diseases journal homepage: www. … Strains exhibiting susceptibility ate number of isolates from different hospitals collected during to a single drug were considered extremely drug resistant (XDR), different time periods. … Genomic the current study, for the first time, we studied the nationwide epi- DNA extracted using the Wizard® Genomic DNA Purification Kit demiology of CRE, collecting isolates from 15 hospitals of different (PROMEGA, USA) was sequenced, applying the 150 bp paired-end service levels. … The STs to any carbapenems isolated from human clinica	local_pdf		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB8265	collection_date	91	residual(91/91=100%_blank)	wide_mix_skip	collection span 228 months (1998–2016); blank_wide			sentinel surveillance study of bacteraemia and isolated between 1998 and 2016	95 million deaths in 2019, with sub-Saharan Africa being the worst affected region 1 . … The prevalence of ESBL-E rapidly increased in Malawi after the 3GC ceftriaxone replaced chloramphenicol (CHL) as first-line empiric therapy for suspected sepsis from 2004 5 , 6 . … CHL is an inhibitor of protein synthesis and broad-spectrum antibiotic discovered in 1947 7 , which is now rarely used, primarily because of the risk of severe adverse effects 8 . … These include dose-unrelated, aplastic anaemia, which is irreversible and fatal 9 but rare (incidence between 1:19,000 and 1:270,000) 10 , dose-related, reversible bone marrow suppression 11 and Grey Baby Syndrome 12 .	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA1026096	isolation_source	88	residual(88/88=100%_blank)	wide_mix_skip	No specimen/source information available — no paper text and no ENA distribution provided to determine isolation_source					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB5495	collection_date	87	residual(87/87=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB5495	country	87	residual(87/87=100%_blank)	wide_mix_skip	No country information available — no paper text and EBI metadata contains no geographic data					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB5495	host	87	tight_cluster_escalate	tight_cluster_escalate	All isolates are clinical Klebsiella (and Acinetobacter) from patients — a human clinical collection selected for colistin resistance; all hosts fall in the human clinical group	human		Whole_genome_sequencing_of_colistin_resistant_Klebsiella_and_Acinetobacter		none	human	curator-accepted suggested value (2026-07-07)
PRJEB5495	isolation_source	87	residual(87/87=100%_blank)	wide_mix_skip	No paper text available and no ENA distribution data provided; isolation_source is entirely unknown and cannot be resolved to any dominant or homogeneous value					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA488070	collection_date	86	residual(86/86=100%_blank)	wide_mix_skip	collection span 36 months (2014–2016); escalate_blank			During January 2014–December 2016, various Ampath regional clinical laboratories referred 1,247 unique clinical, carbapenem... nonsusceptible K. pneumoniae isolates	Klebsiella pneumoniae ST307 with bla<sub>OXA-181,</sub> South Africa, 2014-2016. … Carbapenemases, the predominant cause of carbapenem resistance, are commonly harbored on plasmids that are able to transfer between members of the family Enterobacteriaceae ( 2 ). … pneumoniae that contained bla OXA-48 occurred in Johannesburg in 2011; the case-patient had previously been hospitalized in Egypt ( 4 ). … pneumoniae with bla OXA-48-like during 2014–2016 from different private hospitals across northeastern South Africa.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJNA488070	isolation_source	86	residual(86/86=100%_blank)	wide_mix_skip	Wide mix of invasive infection sites (urine 41%, respiratory 20%, intraabdominal 18%, blood 16%) — no single source is ≥95% and the mix spans clearly distinct specimen categories with no homogeneous cluster			We isolated ST307_X3-OXA-181 mostly from urine (41%), respiratory (20%), intraabdominal (18%), and blood (16%) specimens	We screened all carbapenem-nonsusceptible K. … We screened K. … pneumoniae ST307 isolates (n = 60) from different geographic locations, time points, and specimens to undergo Illumina short-read WGS to elucidate the evolution of ST307 in South Africa. … We performed PCR screening for bla NDM , bla KPC , bla OXA-48 –like, bla IMP , bla VIM , and bla GES using LightMix modular carbapenemase kits (TIB Molbiol, https://www.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
