tag	source	study_accession	field	agent_value	manual_value	adj_verdict	adj_correct_value	adj_quote	adj_reasoning	rule_gap	david_verdict	david_value	david_note
train	find	PRJNA855907	paper	Characterization of Extensively Drug-Resistant (XDR) Carbapenemase-Producing <i>Enterobacterales</i> (CPE) in Canada from 2019 to 2020.	Plasmid genomic epidemiology of carbapenem-hydrolysing class D β-lactamase (CDHL)-producing Enterobacterales in Canada, 2010−2021	both_describe		"Paper A: ""The BioProject number under which the generated sequencing data can be found is PRJNA855907."" Paper B: ""Raw sequencing reads were deposited to the NCBI SRA archive under BioProject PRJNA855907 ... see Table S1 ... for a list of accessions."""	PRJNA855907 is the CNISP 'Carbapenemase Producing Gram-negatives' surveillance umbrella (508 samples). Both papers are primary studies that generated their own sequencing data and explicitly state depositing it into this same BioProject. Paper A says its generated sequencing data is found under PRJNA855907; Paper B says its raw reads (with a Table S1 accession list) were deposited to PRJNA855907. Neither merely reuses/cites the other's data — each deposited its own isolates, so both describe (different subsets of) this project.	Umbrella/surveillance BioProjects (here CNISP) accumulate genomes from multiple independent primary studies; a finder keying on a single 'the project paper' will wrongly reject co-depositing primary studies as data-reusers. Sample-count mismatch with ENA (508 vs 482 vs 249) is expected and should not be used to demote either paper.	skip		
train	find	PRJEB22252	paper	Stunted microbiota and opportunistic pathogen colonization in caesarean-section birth.	Unpublished; Bioproject title: Baby_Biome_Study_gastrointestinal_bacterial_genomes	curated_correct		We undertook targeted large-scale culturing of 836 opportunistic pathogen strains in the faecal samples of 177 babies (70 vaginal and 107 C-section babies, total 741 isolates) and 38 mothers (95 isolates) using selective media	The ENA project PRJEB22252 ('Baby_Biome_Study_gastrointestinal_bacterial_genomes', 237 taxon samples) describes a deliberately broad resource: 'To get a broad and comprehensive coverage of the gut microbiota, we cultivated bacterial species from human faecal samples on different selective agar media and broth' to 'improve the taxonomic classification resolution of metagenomic analysis.' Paper A's culturing was the opposite — explicitly TARGETED to six opportunistic pathogen species (Enterococcus, Clostridium, Enterobacter, Klebsiella, Escherichia) to validate metagenomic carriage, not a comprehensive species collection. That scope mismatch shows Paper A is a related BBS study, not the primary deposit description for this comprehensive genome collection. The bioproject's own linked publication is Paper B (the Nat Commun 2021 resource paper, identical bioproject title), making it the describing study; its full text was not provided so it cannot be quoted, but the curated linkage plus Paper A's clearly narrower scope point to curated_correct.	Finder matched on the prominent same-cohort Nature paper (Baby Biome Study) by cohort/keyword overlap, missing that the bioproject's genome-collection deposit is described by a separate same-cohort resource paper; same-cohort papers with different scopes (targeted pathogen culturing vs comprehensive genome collection) are conflated.	manual	Unpublished; Bioproject title: Baby_Biome_Study_gastrointestinal_bacterial_genomes	
train	find	PRJNA765801	paper	Plasmid dynamics driving carbapenemase gene dissemination in healthcare environments: a nationwide analysis of closed Enterobacterales genomes.	Whole genome sequencing reveals hidden transmission of carbapenemase-producing Enterobacterales	curated_correct		Previous work from our group established that plasmid-mediated transmission accounted for half of CPE dissemination at the population level11.	The ENA project PRJNA765801 is blaNDM-specific, has only 213 taxon samples, and its accession number (765xxx range ≈ 2021 registration) matches a study published in 2022 — i.e. Paper B. Paper A's own text shows it is a SEPARATE, larger, later study: it reconstructs genomes for 'all 1047 clinical and surveillance CPE isolates' across ALL major carbapenemase classes (1088 isolates, 1115 plasmids), not a blaNDM-only 213-sample set. Crucially, Paper A states 'Previous work from our group established that plasmid-mediated transmission accounted for half of CPE dissemination at the population level11' — establishing that the earlier study (ref 11 = Paper B) already performed the plasmid-resolved (hybrid-assembly) transmission analysis whose deposited blaNDM hybrid genomes (Illumina+ONT, matching the ENA description) constitute this 2021-era project. Paper A reuses/extends that cohort. Therefore Paper B is the primary describing/depositing study; the curated link is correct and the finder's Paper A merely builds on the data.	Finder over-weights the most detailed/recent full-text match (Paper A) and ignores objective deposit signals — BioProject accession registration era (765xxx ≈ 2021 vs the candidate paper's 2026 date) and scope/sample-count mismatch (project: blaNDM, 213 samples vs paper: all-carbapenemase, 1088 isolates) — which would have flagged the candidate as a later reusing study rather than the original depositor.	skip		
train	find	PRJEB58018	paper	International spread or local outbreak? Epidemiologic analyses of transmission patterns of NDM-1-producing &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; based on genomic surveillance data, Germany, January 2022 to February 2023.	Increase in NDM-1 and NDM-1/OXA-48-producing Klebsiella pneumoniae in Germany associated with the war in Ukraine, 2022	curated_correct		Between January and September 2022, the NRC received 330 non-duplicate NDM-1- and NDM-1/OXA-48-producing K. pneumoniae isolates. Of these, 200 isolates, comprising 66 NDM-1/OXA-48-producing and 134 NDM-1-producing K. pneumoniae, were subjected to Illumina (Illumina, San Diego, United States) whole genome sequencing.	ENA PRJEB58018 (201 taxon samples; title/description: WGS of 200 isolates, ST147/307/395/23, NDM-1 in Germany linked to Ukraine) matches Paper B exactly: 200 isolates sequenced, identical predominant STs (ST147 44%, ST307 14%, ST395 14%, ST23), NDM-1 and NDM-1/OXA-48, Germany 2022. Paper B is the primary study that generated and deposited these genomes. Paper A analyses a larger, later cohort (476 sequenced cases through Feb 2023) and reuses/extends the surveillance data rather than describing the 200-isolate deposition; its sample counts do not match the project's 200/201. Therefore Paper B describes THIS project.	Finder favored the more comprehensive, later epidemiologic paper (Paper A, 476 cases) over the original smaller deposition study (Paper B, 200 isolates) whose sample count matches the ENA project exactly — a weakness when a follow-up surveillance study reuses an earlier deposited cohort.	manual	Increase in NDM-1 and NDM-1/OXA-48-producing Klebsiella pneumoniae in Germany associated with the war in Ukraine, 2022	
train	find	PRJDB12075	paper	Genomic epidemiology and temperature dependency of hypermucoviscous <i>Klebsiella pneumoniae</i> in Japan.	Disinfectant Susceptibility of Third-Generation-Cephalosporin/Carbapenem-Resistant Gram-Negative Bacteria Isolated from the Oral Cavity of Residents of Long-Term-Care Facilities	curated_correct		The whole-genome sequence FASTQ files were deposited in DDBJ under BioProject nos. PRJDB12075, DRX309353–DRX309536 and DRX317549–DRX317564.	Paper A makes a primary deposit statement for PRJDB12075, and its run range DRX309353–DRX309536 is exactly 184 entries, matching ENA's 184 taxon samples (the extra DRX317549–DRX317564 are the 16 ESBL/carbapenemase isolates given additional MinION long-read runs for hybrid assembly). So Paper A is the study that generated and deposited the genomes in this project; the generic ENA title 'Gram-negative bacteria' simply reflects the umbrella submitter (Klebsiella is Gram-negative). Paper B, by contrast, only reuses/cites the data: its data-availability line 'deposited in the NCBI database (BioProject accession no. PRJDB14068 and PRJDB12075) (2)' attaches a citation to reference 2 (Kajihara et al., a prior LTCF study), its own new sequencing (47 isolates) maps to the separate PRJDB14068, and its 127-isolate multi-species LTCF cohort does not match the 184 samples. Hence Paper A (the PMC-identified, hand-curated entry) describes the project; Paper B merely references the accession.	Finder over-weights a matching accession string and a superficially matching ENA title ('Gram-negative bacteria' ≈ Paper B's multi-species theme) without distinguishing a primary deposit statement from a citing/reuse mention, and without checking that deposited run-range counts (184) reconcile with ENA sample counts.	manual	Disinfectant Susceptibility of Third-Generation-Cephalosporin/Carbapenem-Resistant Gram-Negative Bacteria Isolated from the Oral Cavity of Residents of Long-Term-Care Facilities	
train	find	PRJNA564992	paper	Comparison of phenotypic antimicrobial susceptibility testing results and WGS-derived genotypic resistance profiles for a cohort of ESBL-producing Escherichia coli collected from Canadian hospitals: CANWARD 2007-18.	ESBL-positive Escherichia coli and Klebsiella pneumoniae isolates from across Canada: CANWARD surveillance study, 2007–18; partly published	curated_correct		ESBL-positive Escherichia coli and Klebsiella pneumoniae isolates from across Canada: CANWARD surveillance study, 2007–18	The ENA project PRJNA564992 is titled 'Characterization of ESBL-producing Escherichia coli and Klebsiella pneumoniae collected from Canadian Hospitals' and explicitly spans BOTH species across 2007-2018. Paper B's title matches this scope near-verbatim (both species, CANWARD, 2007–18), identifying it as the primary surveillance study that generated/deposited the full collection. Paper A is narrower: its abstract states '671 E. coli were collected and phenotypically confirmed as ESBL producers... resulting in 636 high-quality genomes,' covers only E. coli, and never addresses K. pneumoniae — so it cannot describe a project that explicitly includes K. pneumoniae. Paper A is a companion E. coli-only prediction sub-study, while Paper B (curated) is the project's primary descriptor.	Finder latched onto a shared cohort label (CANWARD 2007-18) and matching E. coli abstract, but did not check the paper's species coverage against the project's stated scope — picking a single-species companion paper over the broader two-species study that the project (E. coli + K. pneumoniae) actually describes.	manual	ESBL-positive Escherichia coli and Klebsiella pneumoniae isolates from across Canada: CANWARD surveillance study, 2007–18; partly published	
train	grade	PRJEB39943	amr_study	mixed	amr	sheet_correct	amr	All of the included 310 isolates were in the category R or I for at least one carbapenem as per inclusion criteria.	Every isolate sequenced/included in this study met a non-susceptible carbapenem AST result (R or I); the susceptible comparator isolates were part of the parent EuSCAPE/CCRE survey design but were not included here, so per the rubric the deposited set is amr, not mixed.		manual	amr	
train	grade	PRJEB17615	amr_study	mixed	amr	sheet_correct	amr	From 2295 ESBL-positive, and/or cephalosporin resistant, and/or carbapenem-resistant Klebsiella isolates referred to the Antimicrobial Resistance Surveillance Resistance Reference Laboratory in 2015–2017, 263 (11.5%) were selected for WGS	Every sequenced isolate had to be ESBL-producing, cephalosporin-resistant, or carbapenem-resistant to be selected — a resistance gate on each isolate — and the paper describes no deliberately-added susceptible controls, so it is amr, not mixed; the grader's 'susceptible and resistant isolates' quote does not appear anywhere in the paper text.		manual	amr	
train	grade	PRJNA395086	amr_study	amr	surveillance	undetermined			No paper text was provided, so I cannot independently verify the grader's cited exclusion rule or the sheet's classification against the source; the decision cannot be made from the material supplied.		manual	surveillance	
test	find	PRJNA658369	paper	Molecular and clinical epidemiology of carbapenem-resistant Enterobacterales in the USA (CRACKLE-2): a prospective cohort study.	Molecular and clinical epidemiology of carbapenem-resistant Enterobacterales in the USA (CRACKLE-2): a prospective cohort study; Clinical Outcomes and Bacterial Characteristics of Carbapenem-Resistant Klebsiella pneumoniae complex among Patients from Different Global Regions (CRACKLE-2): a Prospective Cohort Study	both_describe		The genomes sequenced in this study were deposited in GenBank (accession number PRJNA658369; appendix pp 1–2).	Both papers are primary CRACKLE-2 genome-sequencing studies tied to this BioProject. Paper B states verbatim that the genomes it sequenced (WGS done on all included isolates) were deposited under PRJNA658369 — direct generation/deposition, not mere reuse. Paper A is the US CRACKLE-2 study whose scope ('Patients hospitalised in 49 US hospitals... whole genome sequencing was done') matches the ENA project title exactly ('Whole genome sequencing data in the USA from CRACKLE-2 Study: Genome sequencing and assembly'). The consortium deposited genomes from both distinct-cohort papers into this shared umbrella accession (ENA shows 1663 samples, exceeding either single cohort), so both are describing/depositing studies rather than one citing the other's data.	When one consortium (here CRACKLE-2) deposits genomes from multiple distinct-cohort papers into a single shared BioProject, and the ENA project title's geographic scope ('in the USA') is narrower or staler than the BioProject's actual contents, the finder can mis-assign primacy to a single paper; it should recognize multiple primary depositors can map to one accession.	manual	Molecular and clinical epidemiology of carbapenem-resistant Enterobacterales in the USA (CRACKLE-2): a prospective cohort study; Clinical Outcomes and Bacterial Characteristics of Carbapenem-Resistant Klebsiella pneumoniae complex among Patients from Different Global Regions (CRACKLE-2): a Prospective Cohort Study	
