study_accession	field	gap_samples	escalate_trigger	resolution	cluster_theme	suggested_value	region_hint	grader_quote	paper_excerpt	fulltext_status	answer	answer_note
PRJNA788733	isolation_source	1488	big_decision(1485)	wide_mix_skip	Clinical AMR reference-unit collection with unspecified mixed specimen types — isolates submitted from diagnostic labs for carbapenem-resistance investigation; no single specimen type is identified as dominant in the paper or EBI metadata.			the sequences in this study were derived from bacterial isolates submitted voluntarily by diagnostic laboratories in England to UKHSA's Antimicrobial Resistance and Healthcare Associated Infections Reference Unit between 1 January 2014 and 30 June 2016 for investigation of carbapenem resistance	Consequently, sampling a single colony per patient may result in the resistance appearing in different strains in different patients, solely due to the conjugation ability of the plasmid, not as a pre-existing property of the pathogen. … It is then fair to assume it is ancestral to our samples and can be used to root the tree. … For each genome, we had access to the original sampling date and site and referring laboratory; the latter were assigned to one of nine geographical areas based on the laboratory location [ 26 ]. … 12-Linux [ 35 ] under the Generalized Time Reversible (GTR) substitution model [ 36 ] with the discrete Gamma model [ 37 ] with the default four rate categories to correct	europepmc_fulltext		curator skip: specimen types span multiple sites; no single whole-field isolation_source (2026-07-07)
PRJNA353728	isolation_source	441	residual(441/464=95%_blank)	wide_mix_skip	Wide mix of invasive clinical specimens (blood, sputum, urine, pus), environmental sources (sewage, sink water), and other bodily secretions — no single value approaches 95% and the mix spans unrelated categories			5 blood, 4 sputum, 4 Sewage, 3 urine, 1 gastric juice, 1 secretion, 1 sink tube, 1 sink water, 1 hospital sewage, 1 Secreta, 1 pus (23 non-blank of 464 samples)		none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB12888	collection_date	318	residual(318/318=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB12888	country	318	residual(318/318=100%_blank)	wide_mix_skip	No country evidence available — no paper text and no ENA country distribution provided; cannot determine even a dominant region					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB12888	isolation_source	318	residual(318/318=100%_blank)	wide_mix_skip	Mixed carriage and invasive specimens: the study explicitly contrasts ESBL-E carried by neonates (carriage/colonisation swabs) with Enterobacteriaceae causing neonatal invasive disease (blood/CSF/other sterile-site cultures) — invasive sites mixed with carriage/screening specimens, a genuinely wide mix.			describe the genetic relatedness of strains of ESBL-E carried by neonates at compared to Enterobacteriaceae causing neonatal invasive disease		none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB39567	isolation_source	250	residual(250/250=100%_blank)	wide_mix_skip	Wide mix of carriage/screening sites (nasal swabs, rectal swabs) combined with lower respiratory specimens (sputum, bronchoalveolar lavage, bronchial brushing) — invasive/clinical respiratory sites mixed with carriage colonisation sites, explicitly excluded from tight-cluster adoption			All patients were sampled using nasal swabs or rectal swabs in addition to sputum or bronchoalveolar lavage if there was a clinical need	Introduction Pseudomonas aeruginosa is a major opportunistic pathogen, highly prevalent in nosocomial settings where it can be the causative agent in otitis media, acute respiratory infections, burn wound infections, sepsis, urinary tract infections, and keratitis 1 – 7 . … aeruginosa is considered an important source of gut-derived sepsis 1 , 8 – 11 and the presence of P. … Due to its ability to colonise diverse niches, there have been reports of the same strains inhabiting different body sites, which could either be explained by within-host translocation, or multiple acquisition events from the same exogenous sources 1 . … Generating improved understanding about the source of P.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB8667	collection_date	184	residual(184/184=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB8667	host	184	residual(184/184=100%_blank)	wide_mix_skip	No host evidence available — EBI study describes non-typhoidal Salmonella and enteroaggregative E. coli (not Klebsiella), and no paper text was provided; cannot determine host distribution.					none	human	curator-accepted suggested value (2026-07-07)
PRJEB8667	isolation_source	184	residual(184/184=100%_blank)	wide_mix_skip	No isolation source information available; EBI study description covers non-typhoidal Salmonella and enteroaggregative E. coli in Nigeria but provides no specimen type data, and no paper text is available.					none		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB54810	collection_date	165	residual(165/165=100%_blank)	wide_mix_skip	collection span None months (?–?); no_dates				Direct competitions between randomly sampled end-point populations and antibiotic-marked ancestors, that displayed no growth defects, revealed that both capsulated and non-capsulated populations had a competitive advantage over their respective ancestors in the evolutionary environment (average fitness increase of 58 and 36%, respectively (Fig. … No significant differences were observed between host-mimicking environments (AUM and ASM) when compared to the others (LB, M02 and soil) for these two variables (Multifactorial ANOVA, df = 1, Biofilm P = 0. … More specifically, out of the 41 possible trait-environment comparisons between capsulated and non-capsulated populations, populations evolve	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB54810	country	165	residual(165/165=100%_blank)	wide_mix_skip	Three strains originating from three different countries on different continents (Taiwan, France, USA) — no single country dominates and the geographic spread is wide			NTUH-K2044: Liver abscess, Taiwan; BJ1: Liver abscess, France; 342: Maize, USA	These variants exist across the different lineages of K. … As expected, post hoc analyses showed that there were significant differences across the three different strains. … On average, we observed four mutations per clone, with significant differences in the number across strains and environments (multifactorial ANOVA, Strain ( F = 16. … 2 Comparison of mutations across ancestral genotypes.	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB54810	host	165	residual(165/165=100%_blank)	wide_mix_skip	Laboratory in vitro cultures with no valid host — isolates are lab-evolved bacterial populations grown in microtiter plates, not derived from any organism or environment that constitutes a host			Populations are grown in 2 mL in 24-welled microtiter plates without shaking, allowing for spatial structure.	However, most bacteria with capsules are free-living and not associated with a host, suggesting that virulence could be a by-product of adaptation independent of the host 15 . … For instance, the capsule increases fitness by limiting co-colonisation of competitors 16 and counteracting Type VI secretion system-mediated bacterial attacks 17 . … For instance, the enterobacterium Klebsiella pneumoniae is a gut commensal of diverse animals, but it is also found in association with plants or in aquatic environments 19 . … It is also becoming an increasingly important nosocomial multidrug resistant human pathogen 19 .	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB54810	isolation_source	165	residual(165/165=100%_blank)	wide_mix_skip	Laboratory growth media — artificially diverse, no single dominant specimen; populations grown in ASM, AUM, LB, M02, and soil medium, all synthetic/lab environments with no real clinical or environmental specimen origin			we evolve six replicate populations... in five environments varying in nutrient sources and carrying capacities... artificial sputum medium (ASM), artificial urine medium (AUM)... Luria–Bertani medium (LB) and minimal medium supplemented with 0.2% of glucose (M02)... filtered potting soil	Introduction Evolution experiments enable the testing of keystone questions of evolutionary theory 1 – 3 , revealing the mechanisms by which populations adapt 4 – 7 , how latent phenotypes, that are not directly selected for, evolve 8 , 9 , and even forecasting evolutionary outcomes 10 . … Numerous studies show the central role of genetic background and nutrient sources in shaping adaptation to novel environments. … This is especially crucial when studying how components at the cell surface which directly respond to environmental cues and stresses, such as the bacterial capsule, affect bacterial microevolution 12 . … However, whether the presence or absence of the capsule affects the first s	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB63210	host	162	residual(162/162=100%_blank)	wide_mix_skip	All 162 K. pneumoniae samples are in vitro laboratory-evolved strains (ATCC reference strains used in adaptive laboratory evolution/FoR assays and functional metagenomics host); per rubric, 'in vitro'/'laboratory' is not a valid host value, and no natural host organism can be assigned — the field must remain blank.			For the FoR and ALE experiments, two strains per species were chosen: for SEN strains, ... K. pneumoniae ATCC 10031 ... and for MDR strains, ... K. pneumoniae ATCC 700603 ... No new samples were collected for the current study.	On the basis of the 2021 World Health Organization (WHO) pipeline report 9 and reviews on the subject 10 – 12 , we selected antimicrobial compounds that have been introduced into clinical practice recently (after 2017) or that are currently in development (that is, recent antibiotics; Table 1 ). … We considered lead compounds that are in clinical trials or have at least established efficacy against Gram-negative ESKAPE pathogens, including Escherichia coli , Klebsiella pneumoniae , Acinetobacter baumannii and Pseudomonas aeruginosa in mouse infection models. … Table 1 Antibiotics used in this study Antibiotic Abbreviation Antibiotic class Generation Date of approval/clinical phase Omadacycli	europepmc_fulltext		auto-skip: wide mix — no single whole-study value (triage=wide_mix_skip)
PRJEB63210	isolation_source	162	residual(162/162=100%_blank)	wide_mix_skip	All 162 Klebsiella ENA samples derive from in vitro laboratory evolution (ALE/FoR) experiments and functional metagenomic selections performed in K. pneumoniae reference strains (ATCC 10031, ATCC 700603); per the rubric, 'in vitro'/'lab culture' is not a valid isolation_source value, so no meaningful single value exists for this field.			We sequenced the complete genomes of 457 resistant lines and 690 independent DNA fragments to decipher the underlying molecular mechanisms of resistance	The selected compounds are generally small molecules and directly target Gram-negative bacteria. … To systematically characterize the bacterial capacity for resistance and the molecular mechanisms conferring resistance, we combined laboratory evolution, functional metagenomic screens and targeted mutagenesis. … (D) Functional metagenomic screens for antibiotic resistance genes from three metagenomic DNA libraries (soil and gut microbiomes and clinical genomes) were performed in E. … (E) The directed evolution method called DIvERGE was used in E.	europepmc_fulltext		curator skip: lab-evolved lines; isolation_source left blank per rubric (2026-07-07)
